0	0	0
0.01	0.010101	0.01
0.02	0.020202	0.02
0.03	0.030303	0.03
0.04	0.040404	0.04
0.05	0.0505051	0.05
0.06	0.0606061	0.06
0.07	0.0707071	0.07
0.08	0.0808081	0.08
0.09	0.0909091	0.09
0.1	0.10101	0.1
0.11	0.111111	0.11
0.12	0.121212	0.12
0.13	0.131313	0.13
0.14	0.141414	0.14
0.15	0.151515	0.15
0.16	0.161616	0.16
0.17	0.171717	0.17
0.18	0.181818	0.18
0.19	0.191919	0.19
0.2	0.20202	0.2
0.21	0.212121	0.21
0.22	0.222222	0.22
0.23	0.232323	0.23
0.24	0.242424	0.24
0.25	0.252525	0.25
0.26	0.262626	0.26
0.27	0.272727	0.27
0.28	0.282828	0.28
0.29	0.292929	0.29
0.3	0.30303	0.3
0.31	0.313131	0.31
0.32	0.323232	0.32
0.33	0.333333	0.33
0.34	0.343434	0.34
0.35	0.353535	0.35
0.36	0.363636	0.36
0.37	0.373737	0.37
0.38	0.383838	0.38
0.39	0.393939	0.39
0.4	0.40404	0.4
0.41	0.414141	0.41
0.42	0.424242	0.42
0.43	0.434343	0.43
0.44	0.444444	0.44
0.45	0.454545	0.45
0.46	0.464646	0.46
0.47	0.474747	0.47
0.48	0.484848	0.48
0.49	0.494949	0.49
0.5	0.505051	0.5
0.51	0.515152	0.51
0.52	0.525253	0.52
0.53	0.535354	0.53
0.54	0.545455	0.54
0.55	0.555556	0.55
0.56	0.565657	0.56
0.57	0.575758	0.57
0.58	0.585859	0.58
0.59	0.59596	0.59
0.6	0.606061	0.6
0.61	0.616162	0.61
0.62	0.626263	0.62
0.63	0.636364	0.63
0.64	0.646465	0.64
0.65	0.656566	0.65
0.66	0.666667	0.66
0.67	0.676768	0.67
0.68	0.686869	0.68
0.69	0.69697	0.69
0.7	0.707071	0.7
0.71	0.717172	0.71
0.72	0.727273	0.72
0.73	0.737374	0.73
0.74	0.747475	0.74
0.75	0.757576	0.75
0.76	0.767677	0.76
0.77	0.777778	0.77
0.78	0.787879	0.78
0.79	0.79798	0.79
0.8	0.808081	0.8
0.81	0.818182	0.81
0.82	0.828283	0.82
0.83	0.838384	0.83
0.84	0.848485	0.84
0.85	0.858586	0.85
0.86	0.868687	0.86
0.87	0.878788	0.87
0.88	0.888889	0.88
0.89	0.89899	0.89
0.9	0.909091	0.9
0.91	0.919192	0.91
0.92	0.929293	0.92
0.93	0.939394	0.93
0.94	0.949495	0.94
0.95	0.959596	0.95
0.96	0.969697	0.96
0.97	0.979798	0.97
0.98	0.989899	0.98
0.99	1	0.99
