0	0	0
0.01	0.00323583	0.00316187
0.02	0.00653704	0.00638761
0.03	0.00990493	0.00967851
0.04	0.0133409	0.0130359
0.05	0.0168462	0.0164611
0.06	0.0204224	0.0199555
0.07	0.0240708	0.0235205
0.08	0.0277929	0.0271575
0.09	0.0315902	0.030868
0.1	0.0354642	0.0346534
0.11	0.0394165	0.0385153
0.12	0.0434486	0.0424553
0.13	0.0475622	0.0464748
0.14	0.0517589	0.0505755
0.15	0.0560404	0.0547591
0.16	0.0604083	0.0590271
0.17	0.0648645	0.0633814
0.18	0.0694107	0.0678237
0.19	0.0740488	0.0723557
0.2	0.0787806	0.0769792
0.21	0.0836079	0.0816962
0.22	0.0885328	0.0865084
0.23	0.0935572	0.0914179
0.24	0.0986831	0.0964265
0.25	0.103913	0.101536
0.26	0.109248	0.106749
0.27	0.11469	0.112068
0.28	0.120243	0.117493
0.29	0.125908	0.123029
0.3	0.131688	0.128676
0.31	0.137584	0.134437
0.32	0.143599	0.140315
0.33	0.149736	0.146311
0.34	0.155997	0.152429
0.35	0.162384	0.15867
0.36	0.1689	0.165037
0.37	0.175548	0.171533
0.38	0.182331	0.17816
0.39	0.18925	0.184921
0.4	0.196309	0.191819
0.41	0.203511	0.198856
0.42	0.210858	0.206035
0.43	0.218353	0.213359
0.44	0.226	0.220831
0.45	0.233802	0.228454
0.46	0.241761	0.236231
0.47	0.249881	0.244165
0.48	0.258165	0.252259
0.49	0.266616	0.260517
0.5	0.275238	0.268941
0.51	0.284034	0.277536
0.52	0.293008	0.286305
0.53	0.302163	0.29525
0.54	0.311504	0.304377
0.55	0.321032	0.313687
0.56	0.330754	0.323186
0.57	0.340671	0.332877
0.58	0.35079	0.342763
0.59	0.361112	0.352849
0.6	0.371643	0.363139
0.61	0.382387	0.373637
0.62	0.393348	0.384347
0.63	0.40453	0.395273
0.64	0.415938	0.40642
0.65	0.427577	0.417792
0.66	0.43945	0.429394
0.67	0.451564	0.44123
0.68	0.463922	0.453305
0.69	0.47653	0.465625
0.7	0.489393	0.478193
0.71	0.502516	0.491015
0.72	0.515903	0.504096
0.73	0.529561	0.517441
0.74	0.543495	0.531056
0.75	0.557711	0.544946
0.76	0.572214	0.559116
0.77	0.587009	0.573573
0.78	0.602104	0.588322
0.79	0.617504	0.603369
0.8	0.633214	0.618719
0.81	0.649242	0.63438
0.82	0.665594	0.650357
0.83	0.682276	0.666657
0.84	0.699296	0.683287
0.85	0.716659	0.700252
0.86	0.734372	0.71756
0.87	0.752444	0.735217
0.88	0.770881	0.753231
0.89	0.78969	0.77161
0.9	0.808879	0.790359
0.91	0.828456	0.809487
0.92	0.848428	0.829002
0.93	0.868804	0.84891
0.94	0.889591	0.869221
0.95	0.910799	0.889943
0.96	0.932435	0.911083
0.97	0.954507	0.93265
0.98	0.977026	0.954652
0.99	1	0.977099
